Kód_obce;volebný_obvod;poradie_na_hlasovacom lístku;meno;priezvisko;titul;vek;povolanie;strany;počet hlasov
500011;1;1;Juraj;Dunčič;;30;podnikateľ;106,135,104,102;240
500011;1;2;Miroslav;Gut;Ing.;55;technik;001;626
500011;1;3;Oľga;Paučová;Ing.;66;dôchodkyňa;116;24
500011;1;4;Matúš;Starovič;Ing.;34;strojný inžinier;148;128
500011;2;1;Roman;Ágh;Ing., MBA;37;obchodný manažér;148;1007
500011;2;2;Matej;Bebko;;32;konateľ spoločnosti;106,135,104,102;335
500011;2;3;Denisa;Branikovičová;;48;samostatne zárobkovo činná osoba;148;944
500011;2;4;Jaroslav;Brezina;Ing.;35;štátny zamestnanec;136,132;425
500011;2;5;Zdenka;Civáňová;Mgr.;55;pedagogička;106,135,104,102;411
500011;2;6;František;Dolnák;Ing.;55;obchodný zástupca;001;265
500011;2;7;Juraj;Fabka;Ing.;72;starobný dôchodca;136,132;206
500011;2;8;Marek;Fúska;Ing.;48;riaditeľ počítačovej školy;124;429
500011;2;9;Ján;Greššo;Mgr.;41;projektový manažér;106,135,104,102;974
500011;2;10;Mária;Jambrichová;Mgr.;42;psychologička;125;255
500011;2;11;Michal;Jankovič;;36;podnikateľ;106,135,104,102;313
500011;2;12;Peter;Kellner;JUDr.;38;podnikateľ;001;459
500011;2;13;Erik;Král;Ing.;31;krajinný architekt;148;1052
500011;2;14;Peter;Krehák;Bc.;47;informatik;111,128,146,139,120,103,118,152;327
500011;2;15;Anna;Kúbeková;Ing., PhD.;45;stredoškolská učiteľka;148;896
500011;2;16;Tatiana;Kubinec;Mgr.;37;hovorkyňa;106,135,104,102;682
500011;2;17;Miloš;Macho;Ing.;62;živnostník;116;216
500011;2;18;Ladislav;Mášik;JUDr., LL.M., MBA;45;právnik;148;835
500011;2;19;Peter;Mezei;Ing. arch. et Ing.;29;architekt, urbanista;148;1053
500011;2;20;Radovan;Neština;;44;SZČO, živnostník;001;411
500011;2;21;Ivan;Ondruška;;55;obchodný zástupca;136,132;363
500011;2;22;Radoslav;Pavelka;Mgr.;49;štátny zamestnanec;111,128,146,139,120,103,118,152;456
500011;2;23;Sylvia;Pohánková;;47;bezpečnostná technička;124;238
500011;2;24;Štefan;Polačik;;37;teamleader logistiky;133;145
500011;2;25;Ondrej;Šedivý;MUDr.;51;lekár;106,135,104,102;632
500011;2;26;Lucia;Šimiaková;Mgr.;25;event manažérka;001;293
500011;2;27;Juraj;Vajda;;40;živnostník;109;198
500011;2;28;Ján;Vančo;PhDr., PhD.;47;pedagóg;111,128,146,139,120,103,118,152;918
500011;2;29;Štefan;Vargočko;Mgr.;42;analytik;124;234
500011;2;30;Vladimír;Vnuk;Ing.;43;výkonný riaditeľ;001;601
500011;2;31;Tibor;Zelenický;Ing. arch.;66;architekt;001;461
500011;2;32;Darina;Zlatošová;;62;konateľka;116;251
500011;3;1;Peter;Božík;Ing.;62;konateľ spoločnosti;107;178
500011;3;2;Imrich;Ďurica;;31;technik údržby;125;208
