Kód obce;poradie na hlasovacom lístku;meno;priezvisko;titul;vek;povolanie;strany;počet hlasov
500011;1;Erik;Blaško;;49;šofér;116;603
500011;2;Marek;Hattas;;35;primátor;148;8175
500011;3;Igor;Kršiak;JUDr.;46;právnik;106,135,104,102;7220
500011;4;Pavol;Obertáš;;47;správca budov;001;4640
500011;5;Dalimír;Solčanský;JUDr., PhD.;54;advokát;125;597
500011;6;Štefan;Štefek;Ing.;55;investičný riaditeľ;001;5299
500020;1;Pavel;Božik;Ing.;57;konateľ s.r.o.;001;413
500020;2;Bohumil;Kišac;;40;SZČO;106;68
500020;3;Igor;Miškolci;;61;environmentálny špecialista;001;351
500046;1;Katarína;Mego Töröková;;44;starostka;136;384
500062;1;Mário;Balázs;Ing.;47;podnikateľ;135;95
500062;2;Diana;Halásová;;40;predavačka;001;49
500062;3;Stanislav;Tokár;;44;konateľ, spoločník v spoločnosti;001;341
500062;4;Mário;Žáčik;PhDr.;50;starosta obce;118;392
500071;1;Lukáš;Hargaš;;32;vodič autobusu;001;62
500071;2;Henrieta;Jančárová;Bc.;42;príslušníčka policajného zboru;001;195
500071;3;Július;Kurča;Ing.;65;starosta;141;364
500071;4;Zuzana;Lukáčová;JUDr., Ing.;42;právnička;106,136;306
500101;1;Mária;Berecová;Mgr.;45;učiteľka;001;118
500101;2;Milan;Greguš;;59;starosta obce;132,136,106;412
500101;3;Ľudmila;Kluková;;48;štátna zamestnankyňa;001;84
500127;1;Branislav;Rusnáčik;;58;konateľ firmy;001;35
500127;2;Vladislav;Uličný;;38;starosta obce;001;245
500135;1;Zdenko;Laca;;46;údržbár;001;360
500135;2;Martina;Zaťková;;32;rodičovská dovolenka;106;152
500151;1;Michal;Čaladik;Ing.;39;Packaging Technologist;001;151
500151;2;Alena;Górová;Ing.;48;ekonómka;001;224
500151;3;Lucia;Levická;Ing.;44;manažérka;001;65
500151;4;Anna;Števová;Ing.;56;vedúca kancelárie generálneho riaditeľa a predsedu predstavenstva;001;176
500151;5;Milan;Švec;Ing., PhD.;63;starosta;136;116
500151;6;Ján;Varga;;52;podnikateľ;132;8
500160;1;Tibor;Csuka;Mgr.;31;špecialista v oblasti počítačových sietí;001;90
500160;2;Július;Czapala;Mgr.;58;starosta;001;192
500160;3;Miroslava;Hubačová;;41;odborná referentka;001;50
500194;1;Albert;Nagy;Mgr.;37;vedúci investičného oddelenia;001;271
500194;2;Marián;Paulisz;Ing.;37;starosta;145;367
500232;1;Radoslav;Belovič;Ing.;36;referent správy budov;106;184
500232;2;Ľuboš;Kolárik;Mgr.;57;starosta obce;104;595
500232;3;Tamara;Krenželáková;Mgr.;36;projektová manažérka;124;107
500241;1;Jaroslav;Bennár;;59;starosta;001;435
500241;2;Jozef;Matušica;;60;vodič;132;203
500283;1;Peter;Štepianský;Mgr.;44;starosta;132;392
500283;2;Miloš;Šútor;;53;elektrotechnik;001;303
500305;1;Miroslav;Černay;Mgr.;35;koordinátor regionálneho centra sociálnej ekonomiky;106,136;190
500305;2;Silvia;Kukučková;Ing.;43;starostka;001;273
500313;1;Vladimír;Fabo;;60;starosta;001;241
500313;2;Ján;Harinek;Ing.;66;priemyselný inžinier;116;3
500313;3;Michal;Hertel;;38;obsluha čerpacej stanice;106;49
500321;1;Alena;Záhoreczová;;56;starostka obce;136;153
500348;1;Silvester;Babača;;41;vodič;104,111,128;116
500348;2;Pavol;Gelo;;39;starosta obce;106,132,136;237
500348;3;Jaroslav;Šutriepka;;38;súkromný podnikateľ;135;38
500356;1;Stanislav;Sťahel;;56;starosta obce;001;481
500364;1;Dušan;Kazimír;;61;starosta ;136;117
