Kód_obce;Apoštolská_cirkev_na_Slovensku;Bahájske_spoločenstvo_v_Slovenskej_republike;Bratská_jednota_baptistov_v_Slovenskej_republike(baptistické);Cirkev_Ježiša_Krista_Svätých_neskorších_dní_v_Slovenskej_republike_(mormónske);Cirkev_adventistov_siedmeho_dňa,Slovenské_združenie;Cirkev_bratská_v_Slovenskej_republike;Cirkev_československá_husitská_na_Slovensku;Evanjelická_cirkev_augsburského_vyznania_na_Slovensku_(evanjelické);Evanjelická_cirkev_metodistická,_Slovenská_oblasť;Gréckokatolícka_cirkev_na_Slovensku_(gréckokatolícke);Kresťanské_zbory_na_Slovensku;Novoapoštolská_cirkev_v_Slovenskej_republike;Náboženská_spoločnosť_Jehovovi_svedkovia_v_Slovenskej_republike;Pravoslávna_cirkev_na_Slovensku_(pravoslávne);Reformovaná_kresťanská_cirkev_na_Slovensku_(kalvínske);Rímskokatolícka_cirkev_v_Slovenskej_republike_(rímskokatolícke);Starokatolícka_cirkev_na_Slovensku_(starokatolícke);ad_hoc_hnutia;bez_náboženského_vyznania;budhizmus;dôverné;hinduizmus;iné;islam;nezistené;ostatné_a_nepresne_určené_kresťanské_cirkvi;pohanstvo_a_prírodné_duchovno;Židovská_obec_na_Slovensku_(židovské)
SK0101528595;44.0;12.0;51.0;5.0;28.0;98.0;26.0;2051.0;23.0;377.0;74.0;0.0;84.0;266.0;138.0;12875.0;18.0;199.0;16678.0;179.0;318.0;19.0;280.0;85.0;4733.0;184.0;33.0;204.0
SK0102529311;25.0;0.0;61.0;5.0;3.0;17.0;2.0;638.0;10.0;230.0;84.0;0.0;88.0;111.0;91.0;8520.0;16.0;117.0;7885.0;54.0;39.0;7.0;88.0;27.0;1747.0;49.0;11.0;12.0
SK0102529320;93.0;9.0;105.0;7.0;42.0;130.0;23.0;3120.0;37.0;834.0;184.0;0.0;211.0;414.0;239.0;25711.0;34.0;390.0;29643.0;206.0;129.0;40.0;403.0;139.0;5900.0;226.0;55.0;123.0
SK0102529338;23.0;0.0;26.0;2.0;3.0;3.0;0.0;596.0;13.0;175.0;78.0;0.0;46.0;109.0;63.0;6760.0;10.0;116.0;7727.0;41.0;36.0;8.0;92.0;32.0;1543.0;49.0;24.0;10.0
SK0103529346;47.0;13.0;43.0;3.0;35.0;56.0;27.0;1729.0;26.0;413.0;98.0;0.0;68.0;234.0;145.0;13042.0;13.0;236.0;16348.0;190.0;137.0;11.0;232.0;81.0;3660.0;94.0;38.0;61.0
SK0103529354;34.0;3.0;29.0;2.0;9.0;28.0;10.0;853.0;14.0;263.0;97.0;0.0;121.0;149.0;68.0;8064.0;7.0;130.0;9242.0;75.0;74.0;8.0;120.0;25.0;2042.0;68.0;33.0;24.0
SK0103529362;7.0;0.0;0.0;0.0;3.0;2.0;0.0;133.0;2.0;48.0;17.0;0.0;2.0;21.0;9.0;2297.0;0.0;20.0;2029.0;6.0;28.0;4.0;30.0;23.0;335.0;13.0;4.0;3.0
SK0104529371;22.0;3.0;19.0;6.0;14.0;14.0;2.0;464.0;13.0;159.0;66.0;0.0;62.0;76.0;28.0;5783.0;3.0;96.0;6313.0;35.0;36.0;2.0;95.0;14.0;1088.0;45.0;20.0;14.0
SK0104529389;22.0;12.0;24.0;3.0;20.0;34.0;10.0;1321.0;8.0;392.0;74.0;0.0;55.0;170.0;92.0;11773.0;10.0;206.0;13591.0;88.0;74.0;12.0;169.0;59.0;2281.0;110.0;48.0;36.0
SK0104529397;37.0;2.0;26.0;2.0;20.0;49.0;8.0;1418.0;20.0;295.0;80.0;0.0;73.0;210.0;105.0;11397.0;17.0;239.0;13635.0;100.0;95.0;17.0;218.0;59.0;2281.0;119.0;34.0;41.0
