Kód_obce;bez_školského_vzdelania–osoby_vo_veku_15_rokov_a_viac;dôverné;nezistené;stredné_odborné (učňovské)_vzdelanie_bez_maturity_(bližšie_neuvedené);stredné_odborné_(učňovské)_vzdelanie_bez_maturity_a_bez_výučného_listu_(zaškolenie,zaučenie);stredné_odborné_(učňovské)_vzdelanie_bez_maturity_s_vysvedčením_o_záverečnej_skúške;stredné_odborné_(učňovské)_vzdelanie_bez_maturity_s_výučným_listom;vysokoškolské_vzdelanie_(bližšie_neuvedené);vysokoškolské_vzdelanie-1.stupeň_(Bc.);"vysokoškolské_vzdelanie-2.stupeň(Ing.;Mgr.;MUDr.;a_i.)";"vysokoškolské_vzdelanie-3.stupeň(PhD.;a_i.)";vyššie_odborné_vzdelanie_(bližšie_neuvedené);vyššie_odborné_vzdelanie_nadstavbové_(maturita_absolventov_učebných_odborov_stredných_odborných_škôl);vyššie_odborné_vzdelanie_pomaturitné_(pomaturitné_kvalifikačné);vyššie_odborné_vzdelanie_vyššie_odborné_(absolventská_skúška,absolventský diplom);základné_vzdelanie_(bližšie_neuvedené);základné_vzdelanie-1.stupeň_základnej_školy;základné_vzdelanie-2.stupeň_základnej_školy;úplné_stredné_vzdelanie_s_maturitou(bližšie_neuvedené);úplné_stredné_vzdelanie_s_maturitou_odborné;úplné_stredné_vzdelanie_s_maturitou_odborné(učňovské)s_výučným_listom;úplné_stredné_vzdelanie_s_maturitou_všeobecné
SK0101528595;25.0;155.0;3526.0;41.0;281.0;389.0;1343.0;15.0;1718.0;17781.0;2854.0;2.0;920.0;298.0;476.0;41.0;224.0;1761.0;48.0;3650.0;829.0;2705.0
SK0102529311;62.0;20.0;1390.0;42.0;382.0;450.0;2545.0;2.0;606.0;4616.0;385.0;;874.0;219.0;203.0;32.0;270.0;1794.0;19.0;3397.0;1165.0;1464.0
SK0102529320;75.0;71.0;4453.0;80.0;735.0;1134.0;4647.0;15.0;2643.0;26586.0;2794.0;1.0;2179.0;620.0;798.0;54.0;511.0;4152.0;87.0;9273.0;2496.0;5043.0
SK0102529338;32.0;18.0;1208.0;47.0;305.0;362.0;2041.0;6.0;550.0;4522.0;358.0;;812.0;183.0;208.0;20.0;205.0;1497.0;25.0;2936.0;907.0;1343.0
SK0103529346;50.0;54.0;2826.0;35.0;422.0;511.0;2134.0;19.0;1489.0;15244.0;1846.0;;1031.0;302.0;443.0;25.0;240.0;2110.0;45.0;4433.0;1175.0;2646.0
SK0103529354;25.0;34.0;1664.0;34.0;304.0;423.0;2058.0;4.0;813.0;6906.0;641.0;;825.0;184.0;232.0;19.0;175.0;1418.0;23.0;3250.0;963.0;1597.0
SK0103529362;6.0;12.0;347.0;6.0;93.0;106.0;582.0;;152.0;1441.0;99.0;;208.0;57.0;52.0;1.0;48.0;363.0;7.0;821.0;273.0;362.0
SK0104529371;21.0;10.0;892.0;26.0;189.0;252.0;1574.0;4.0;571.0;4177.0;472.0;;654.0;148.0;159.0;8.0;124.0;1000.0;10.0;2390.0;790.0;1021.0
SK0104529389;35.0;45.0;1666.0;40.0;354.0;588.0;2733.0;4.0;1091.0;10231.0;1352.0;1.0;1148.0;281.0;399.0;26.0;263.0;2073.0;37.0;4777.0;1247.0;2303.0
SK0104529397;34.0;32.0;1598.0;41.0;254.0;413.0;1715.0;7.0;1315.0;12688.0;1562.0;1.0;911.0;265.0;352.0;4.0;185.0;1679.0;33.0;4025.0;989.0;2494.0
SK0104529401;2.0;4.0;84.0;1.0;14.0;29.0;105.0;;60.0;587.0;67.0;;50.0;9.0;23.0;;15.0;106.0;3.0;195.0;57.0;112.0
SK0104529419;15.0;10.0;323.0;8.0;51.0;118.0;432.0;1.0;182.0;2477.0;347.0;;212.0;86.0;88.0;3.0;48.0;370.0;3.0;1026.0;231.0;461.0
SK0104529427;4.0;2.0;183.0;2.0;54.0;62.0;371.0;;207.0;2123.0;198.0;;159.0;42.0;64.0;;45.0;353.0;4.0;569.0;202.0;345.0
SK0105529435;;2.0;37.0;;13.0;25.0;151.0;;46.0;380.0;43.0;;53.0;9.0;10.0;;13.0;109.0;;226.0;71.0;86.0
SK0105529443;5.0;4.0;51.0;1.0;19.0;32.0;244.0;;72.0;714.0;64.0;;95.0;13.0;26.0;1.0;15.0;192.0;;293.0;108.0;129.0
SK0105529460;120.0;114.0;6040.0;207.0;1438.0;1772.0;10219.0;16.0;3360.0;30771.0;3025.0;1.0;4132.0;1006.0;1216.0;92.0;819.0;6108.0;123.0;15182.0;4699.0;6863.0
SK0105529494;4.0;9.0;119.0;3.0;39.0;67.0;344.0;2.0;122.0;1269.0;136.0;;124.0;26.0;52.0;5.0;21.0;355.0;;414.0;145.0;257.0
SK0106500267;;;9.0;;3.0;2.0;25.0;;4.0;19.0;2.0;;9.0;2.0;2.0;;1.0;9.0;;26.0;10.0;13.0
