Kód_obce;dôchodca;dôverné;iná;nezamestnaný;nezistené;osoba_na_materskej_dovolenke;osoba_na_rodičovskej_dovolenke;osoba_v_domácnosti;pracujúci_(okrem_dôchodcov);pracujúci_dôchodca;príjemca_kapitálových_príjmov;študent_vysokej_školy;žiak_strednej_školy;žiak_základnej_školy
SK0101528595;8004.0;134.0;65.0;873.0;1548.0;227.0;636.0;1933.0;19312.0;3948.0;433.0;754.0;1113.0;102.0
SK0102529311;4397.0;19.0;61.0;611.0;621.0;115.0;278.0;1008.0;10091.0;1556.0;59.0;367.0;673.0;81.0
SK0102529320;14968.0;100.0;138.0;1956.0;2038.0;503.0;1229.0;3276.0;34772.0;5314.0;442.0;1398.0;2109.0;204.0
SK0102529338;3329.0;17.0;60.0;593.0;567.0;101.0;262.0;906.0;9328.0;1364.0;52.0;351.0;595.0;60.0
SK0103529346;7318.0;76.0;52.0;985.0;1352.0;295.0;768.0;1786.0;19170.0;3121.0;260.0;664.0;1144.0;89.0
SK0103529354;4265.0;32.0;30.0;693.0;825.0;153.0;376.0;1085.0;11239.0;1673.0;78.0;418.0;654.0;71.0
SK0103529362;970.0;18.0;10.0;124.0;197.0;28.0;79.0;241.0;2639.0;386.0;20.0;102.0;199.0;23.0
SK0104529371;2099.0;14.0;21.0;471.0;471.0;111.0;212.0;738.0;8382.0;1079.0;65.0;300.0;482.0;47.0
SK0104529389;7170.0;26.0;46.0;945.0;723.0;213.0;446.0;1398.0;15423.0;2358.0;121.0;607.0;1098.0;120.0
SK0104529397;5348.0;50.0;32.0;934.0;783.0;241.0;481.0;1461.0;16723.0;2274.0;184.0;926.0;1066.0;94.0
SK0104529401;247.0;6.0;4.0;32.0;46.0;13.0;38.0;82.0;812.0;118.0;12.0;34.0;70.0;9.0
SK0104529419;1790.0;13.0;4.0;138.0;124.0;46.0;103.0;269.0;2999.0;600.0;29.0;111.0;235.0;31.0
SK0104529427;738.0;6.0;5.0;124.0;70.0;51.0;129.0;312.0;2789.0;364.0;44.0;96.0;239.0;22.0
SK0105529435;225.0;4.0;4.0;34.0;27.0;7.0;21.0;82.0;692.0;86.0;6.0;29.0;50.0;7.0
SK0105529443;357.0;3.0;1.0;64.0;27.0;11.0;54.0;131.0;1127.0;149.0;12.0;38.0;97.0;7.0
SK0105529460;20903.0;78.0;250.0;2888.0;2615.0;620.0;1631.0;4708.0;48795.0;10400.0;416.0;1402.0;2309.0;308.0
SK0105529494;587.0;6.0;5.0;98.0;56.0;17.0;63.0;191.0;1928.0;261.0;28.0;77.0;186.0;10.0
SK0106500267;22.0;0.0;0.0;5.0;7.0;0.0;1.0;6.0;75.0;15.0;0.0;1.0;4.0;0.0
SK0106504556;230.0;2.0;3.0;63.0;37.0;3.0;25.0;79.0;677.0;57.0;0.0;21.0;44.0;7.0
SK0106504629;148.0;3.0;0.0;20.0;7.0;2.0;5.0;48.0;312.0;35.0;0.0;17.0;20.0;2.0
SK0106504637;150.0;4.0;1.0;11.0;7.0;2.0;11.0;28.0;325.0;38.0;0.0;19.0;27.0;1.0
SK0106504769;590.0;7.0;7.0;93.0;93.0;18.0;41.0;148.0;1625.0;185.0;2.0;30.0;127.0;16.0
SK0106504858;338.0;2.0;2.0;47.0;14.0;4.0;22.0;80.0;709.0;88.0;3.0;19.0;61.0;8.0
SK0106504874;315.0;0.0;4.0;51.0;14.0;4.0;16.0;89.0;740.0;106.0;3.0;22.0;67.0;7.0
SK0106504947;644.0;4.0;12.0;154.0;50.0;14.0;39.0;218.0;1643.0;207.0;4.0;39.0;134.0;18.0
SK0106504980;488.0;4.0;5.0;92.0;37.0;13.0;44.0;142.0;1320.0;157.0;3.0;40.0;96.0;14.0
SK0106507831;143.0;0.0;0.0;18.0;15.0;4.0;8.0;42.0;349.0;54.0;3.0;17.0;33.0;2.0
SK0106507890;554.0;5.0;7.0;105.0;122.0;7.0;31.0;148.0;1374.0;167.0;5.0;29.0;98.0;12.0
SK0106507954;245.0;2.0;3.0;34.0;9.0;8.0;10.0;78.0;585.0;76.0;3.0;25.0;45.0;5.0
SK0106507962;292.0;0.0;3.0;67.0;28.0;7.0;13.0;85.0;707.0;125.0;0.0;27.0;51.0;8.0
SK0106508012;215.0;3.0;3.0;53.0;19.0;14.0;29.0;68.0;789.0;106.0;4.0;24.0;69.0;11.0
SK0106508021;312.0;4.0;4.0;41.0;20.0;13.0;23.0;80.0;804.0;109.0;0.0;29.0;56.0;9.0
SK0106508039;301.0;4.0;1.0;42.0;24.0;20.0;39.0;77.0;903.0;93.0;4.0;31.0;76.0;2.0
SK0106508055;549.0;3.0;6.0;94.0;38.0;12.0;37.0;116.0;1353.0;249.0;3.0;47.0;117.0;13.0
SK0106508063;3284.0;15.0;29.0;573.0;420.0;100.0;233.0;765.0;8261.0;1192.0;47.0;271.0;575.0;70.0
SK0106508080;269.0;5.0;0.0;42.0;29.0;14.0;38.0;108.0;1043.0;106.0;5.0;36.0;91.0;10.0
SK0106508161;184.0;2.0;2.0;23.0;14.0;6.0;14.0;44.0;356.0;56.0;0.0;8.0;41.0;2.0
SK0106508195;431.0;6.0;7.0;98.0;76.0;17.0;32.0;185.0;955.0;158.0;0.0;35.0;77.0;21.0
SK0106508233;1773.0;18.0;18.0;277.0;168.0;80.0;215.0;509.0;5451.0;624.0;31.0;196.0;433.0;42.0
SK0106508241;114.0;3.0;3.0;43.0;23.0;5.0;6.0;33.0;312.0;23.0;0.0;5.0;11.0;4.0
SK0106508349;429.0;8.0;11.0;79.0;58.0;3.0;24.0;114.0;919.0;130.0;0.0;21.0;63.0;10.0
SK0106508365;324.0;6.0;9.0;65.0;29.0;6.0;14.0;138.0;769.0;100.0;0.0;13.0;64.0;8.0
SK0106508381;661.0;2.0;5.0;106.0;42.0;14.0;33.0;164.0;1464.0;182.0;3.0;58.0;135.0;22.0
SK0107507806;384.0;2.0;1.0;62.0;19.0;2.0;35.0;88.0;753.0;90.0;0.0;40.0;64.0;5.0
SK0107507849;454.0;6.0;5.0;60.0;24.0;9.0;39.0;110.0;1040.0;132.0;4.0;55.0;102.0;15.0
SK0107507857;431.0;4.0;0.0;65.0;8.0;8.0;21.0;122.0;1029.0;155.0;0.0;54.0;72.0;7.0
SK0107507873;208.0;0.0;1.0;20.0;2.0;4.0;11.0;41.0;498.0;52.0;3.0;23.0;40.0;7.0
SK0107507881;190.0;2.0;1.0;29.0;16.0;6.0;9.0;46.0;524.0;72.0;3.0;27.0;35.0;3.0
SK0107507946;158.0;2.0;3.0;33.0;8.0;3.0;14.0;51.0;437.0;50.0;0.0;20.0;43.0;6.0
SK0107507989;990.0;13.0;2.0;122.0;74.0;37.0;87.0;229.0;2559.0;343.0;17.0;110.0;209.0;14.0
SK0107508047;299.0;5.0;1.0;44.0;33.0;10.0;31.0;104.0;970.0;128.0;12.0;47.0;98.0;6.0
SK0107508101;1839.0;11.0;2.0;266.0;143.0;27.0;106.0;431.0;3928.0;639.0;17.0;150.0;310.0;32.0
SK0107508179;4030.0;13.0;27.0;597.0;396.0;141.0;329.0;1036.0;10875.0;1606.0;69.0;422.0;820.0;89.0
SK0107508187;59.0;2.0;0.0;8.0;2.0;1.0;6.0;13.0;154.0;22.0;0.0;4.0;14.0;0.0
SK0107508225;522.0;6.0;1.0;123.0;40.0;70.0;136.0;237.0;2347.0;210.0;11.0;67.0;139.0;16.0
SK0107508250;957.0;3.0;1.0;121.0;54.0;17.0;81.0;191.0;2291.0;314.0;8.0;78.0;209.0;22.0
SK0107508268;76.0;0.0;0.0;12.0;6.0;2.0;5.0;26.0;164.0;23.0;0.0;5.0;7.0;1.0
SK0107508306;333.0;4.0;0.0;64.0;30.0;10.0;40.0;95.0;1210.0;165.0;11.0;53.0;117.0;9.0
SK0107508314;222.0;2.0;0.0;38.0;20.0;2.0;15.0;84.0;650.0;63.0;5.0;28.0;61.0;8.0
SK0107508322;324.0;4.0;3.0;47.0;15.0;6.0;21.0;47.0;559.0;68.0;3.0;28.0;44.0;5.0
SK0108503681;104.0;0.0;0.0;9.0;4.0;3.0;8.0;15.0;225.0;31.0;2.0;8.0;9.0;1.0
SK0108503797;100.0;5.0;0.0;39.0;11.0;8.0;30.0;75.0;615.0;53.0;0.0;17.0;37.0;4.0
SK0108503801;140.0;0.0;0.0;34.0;11.0;8.0;15.0;46.0;452.0;47.0;2.0;19.0;31.0;5.0
SK0108503819;60.0;0.0;0.0;11.0;4.0;3.0;11.0;29.0;237.0;36.0;0.0;15.0;18.0;3.0
SK0108503851;104.0;2.0;1.0;29.0;3.0;7.0;18.0;38.0;324.0;25.0;2.0;9.0;18.0;3.0
SK0108503894;358.0;3.0;1.0;53.0;34.0;13.0;33.0;91.0;920.0;104.0;2.0;46.0;66.0;5.0
SK0108503983;273.0;2.0;1.0;57.0;20.0;12.0;15.0;92.0;699.0;83.0;0.0;24.0;66.0;8.0
SK0108507814;1164.0;8.0;3.0;205.0;112.0;78.0;194.0;397.0;3758.0;414.0;17.0;131.0;292.0;40.0
SK0108507822;336.0;2.0;3.0;51.0;23.0;11.0;26.0;76.0;707.0;77.0;4.0;41.0;72.0;8.0
SK0108507865;203.0;2.0;2.0;25.0;19.0;2.0;17.0;61.0;536.0;48.0;0.0;26.0;46.0;5.0
SK0108507903;356.0;8.0;1.0;77.0;14.0;13.0;46.0;135.0;1130.0;109.0;4.0;37.0;94.0;5.0
SK0108507911;595.0;7.0;5.0;141.0;54.0;34.0;128.0;281.0;3132.0;214.0;19.0;135.0;301.0;32.0
SK0108507938;1165.0;5.0;7.0;170.0;124.0;31.0;87.0;306.0;2852.0;392.0;26.0;137.0;301.0;20.0
SK0108507997;248.0;4.0;1.0;34.0;12.0;6.0;15.0;55.0;668.0;80.0;4.0;25.0;67.0;6.0
SK0108508071;432.0;5.0;3.0;74.0;46.0;25.0;85.0;178.0;1713.0;169.0;7.0;53.0;148.0;9.0
SK0108508098;343.0;3.0;1.0;88.0;19.0;56.0;88.0;194.0;1770.0;149.0;9.0;83.0;131.0;19.0
SK0108508110;424.0;5.0;2.0;85.0;50.0;33.0;94.0;171.0;1753.0;177.0;4.0;52.0;109.0;12.0
SK0108508136;371.0;4.0;0.0;92.0;29.0;35.0;44.0;138.0;1408.0;156.0;7.0;61.0;106.0;10.0
SK0108508209;479.0;10.0;2.0;111.0;44.0;54.0;127.0;213.0;2304.0;196.0;15.0;99.0;172.0;18.0
SK0108508217;2883.0;32.0;42.0;495.0;404.0;125.0;301.0;956.0;8744.0;1148.0;58.0;319.0;671.0;88.0
SK0108508276;500.0;4.0;0.0;73.0;29.0;9.0;30.0;117.0;1152.0;167.0;4.0;53.0;99.0;11.0
SK0108508284;178.0;6.0;0.0;34.0;15.0;6.0;15.0;54.0;535.0;61.0;0.0;13.0;43.0;11.0
SK0108508292;468.0;4.0;8.0;100.0;43.0;31.0;47.0;146.0;1247.0;131.0;6.0;41.0;106.0;13.0
SK0108508331;94.0;0.0;0.0;14.0;1.0;1.0;2.0;26.0;189.0;24.0;0.0;11.0;13.0;1.0
SK0108545333;905.0;7.0;12.0;196.0;98.0;46.0;121.0;350.0;3344.0;339.0;24.0;123.0;265.0;32.0
SK0108555487;120.0;0.0;0.0;19.0;9.0;0.0;9.0;27.0;247.0;29.0;0.0;8.0;26.0;2.0
SK0108555495;154.0;2.0;2.0;24.0;5.0;4.0;15.0;53.0;398.0;35.0;3.0;20.0;37.0;2.0
SK0108555509;253.0;5.0;0.0;38.0;17.0;3.0;33.0;100.0;959.0;134.0;9.0;36.0;126.0;5.0
SK0108582549;17.0;2.0;0.0;3.0;0.0;0.0;0.0;4.0;47.0;2.0;0.0;1.0;4.0;1.0
SK0211501433;4714.0;18.0;73.0;854.0;606.0;73.0;203.0;1080.0;9469.0;1779.0;21.0;388.0;666.0;113.0
SK0211501441;125.0;3.0;0.0;17.0;3.0;3.0;6.0;25.0;242.0;24.0;0.0;13.0;24.0;2.0
SK0211501450;221.0;3.0;1.0;35.0;11.0;5.0;12.0;44.0;547.0;59.0;0.0;13.0;29.0;7.0
SK0211501468;154.0;2.0;0.0;24.0;11.0;0.0;9.0;32.0;346.0;34.0;0.0;13.0;30.0;0.0
SK0211501484;68.0;2.0;2.0;11.0;6.0;2.0;2.0;19.0;168.0;19.0;0.0;6.0;12.0;2.0
SK0211501492;151.0;2.0;2.0;37.0;9.0;3.0;9.0;51.0;463.0;64.0;0.0;17.0;31.0;8.0
SK0211501506;66.0;3.0;0.0;10.0;2.0;0.0;4.0;14.0;161.0;19.0;0.0;7.0;12.0;3.0
SK0211501514;102.0;3.0;0.0;11.0;8.0;1.0;11.0;41.0;270.0;31.0;0.0;6.0;24.0;3.0
SK0211501522;1822.0;6.0;27.0;260.0;229.0;25.0;81.0;400.0;3514.0;560.0;9.0;104.0;211.0;48.0
SK0211501531;214.0;3.0;1.0;42.0;25.0;2.0;11.0;62.0;541.0;64.0;0.0;16.0;44.0;6.0
SK0211501549;104.0;2.0;2.0;19.0;11.0;1.0;4.0;33.0;201.0;39.0;0.0;7.0;14.0;0.0
SK0211501557;108.0;2.0;0.0;41.0;6.0;4.0;10.0;40.0;378.0;49.0;0.0;14.0;27.0;6.0
SK0211501573;990.0;5.0;6.0;169.0;159.0;26.0;45.0;276.0;2305.0;314.0;0.0;69.0;155.0;16.0
SK0211501581;415.0;2.0;0.0;72.0;20.0;10.0;21.0;122.0;908.0;124.0;2.0;41.0;65.0;10.0
SK0211501590;422.0;3.0;3.0;65.0;23.0;9.0;28.0;116.0;905.0;125.0;0.0;29.0;65.0;10.0
